species,province,occurrences_in_province_2023
Cinnyris jugularis,Abra,6
Cinnyris jugularis,Agusan del Norte,16
Cinnyris jugularis,Agusan del Sur,16
Cinnyris jugularis,Aklan,42
Cinnyris jugularis,Albay,22
Cinnyris jugularis,Antique,18
Cinnyris jugularis,Aurora,8
Cinnyris jugularis,Bataan,66
Cinnyris jugularis,Batangas,58
Cinnyris jugularis,Benguet,45
Cinnyris jugularis,Bohol,123
Cinnyris jugularis,Bukidnon,55
Cinnyris jugularis,Bulacan,34
Cinnyris jugularis,Cagayan,1
Cinnyris jugularis,Camarines Norte,1
Cinnyris jugularis,Camarines Sur,45
Cinnyris jugularis,Camiguin,27
Cinnyris jugularis,Capiz,3
Cinnyris jugularis,Cavite,127
Cinnyris jugularis,Cebu,147
Cinnyris jugularis,Compostela Valley,14
Cinnyris jugularis,Cotabato,21
Cinnyris jugularis,Davao Occidental,1
Cinnyris jugularis,Davao Oriental,3
Cinnyris jugularis,Davao del Norte,48
Cinnyris jugularis,Davao del Sur,193
Cinnyris jugularis,Eastern Samar,2
Cinnyris jugularis,Guimaras,10
Cinnyris jugularis,Ifugao,23
Cinnyris jugularis,Ilocos Norte,10
Cinnyris jugularis,Ilocos Sur,10
Cinnyris jugularis,Iloilo,78
Cinnyris jugularis,Isabela,7
Cinnyris jugularis,La Union,17
Cinnyris jugularis,Laguna,139
Cinnyris jugularis,Lanao del Norte,5
Cinnyris jugularis,Leyte,39
Cinnyris jugularis,Maguindanao,298
Cinnyris jugularis,Marinduque,2
Cinnyris jugularis,Masbate,33
Cinnyris jugularis,Metropolitan Manila,4
Cinnyris jugularis,Misamis Occidental,5
Cinnyris jugularis,Misamis Oriental,21
Cinnyris jugularis,Mountain Province,7
Cinnyris jugularis,National Capital Region (Manila),810
Cinnyris jugularis,Negros Occidental,213
Cinnyris jugularis,Negros Oriental,122
Cinnyris jugularis,Northern Samar,2
Cinnyris jugularis,Nueva Ecija,10
Cinnyris jugularis,Nueva Vizcaya,9
Cinnyris jugularis,Occidental Mindoro,17
Cinnyris jugularis,Oriental Mindoro,10
Cinnyris jugularis,Pampanga,64
Cinnyris jugularis,Pangasinan,47
Cinnyris jugularis,Quezon,40
Cinnyris jugularis,Quirino,1
Cinnyris jugularis,Rizal,263
Cinnyris jugularis,Romblon,17
Cinnyris jugularis,Samar,6
Cinnyris jugularis,Sarangani,8
Cinnyris jugularis,Siquijor,27
Cinnyris jugularis,Sorsogon,111
Cinnyris jugularis,South Cotabato,34
Cinnyris jugularis,Southern Leyte,3
Cinnyris jugularis,Sultan Kudarat,19
Cinnyris jugularis,Surigao del Norte,54
Cinnyris jugularis,Surigao del Sur,20
Cinnyris jugularis,Tarlac,15
Cinnyris jugularis,Tawi-Tawi,5
Cinnyris jugularis,Zambales,10
Cinnyris jugularis,Zamboanga del Norte,5
Cinnyris jugularis,Zamboanga del Sur,70
Corvus macrorhynchos,Abra,3
Corvus macrorhynchos,Agusan del Sur,105
Corvus macrorhynchos,Aklan,4
Corvus macrorhynchos,Albay,7
Corvus macrorhynchos,Antique,8
Corvus macrorhynchos,Aurora,25
Corvus macrorhynchos,Basilan,1
Corvus macrorhynchos,Bataan,347
Corvus macrorhynchos,Batanes,2
Corvus macrorhynchos,Batangas,72
Corvus macrorhynchos,Benguet,110
Corvus macrorhynchos,Bohol,94
Corvus macrorhynchos,Bukidnon,107
Corvus macrorhynchos,Bulacan,11
Corvus macrorhynchos,Cagayan,1
Corvus macrorhynchos,Camarines Norte,1
Corvus macrorhynchos,Camarines Sur,26
Corvus macrorhynchos,Camiguin,13
Corvus macrorhynchos,Cavite,100
Corvus macrorhynchos,Cebu,14
Corvus macrorhynchos,Compostela Valley,35
Corvus macrorhynchos,Cotabato,36
Corvus macrorhynchos,Davao Occidental,1
Corvus macrorhynchos,Davao Oriental,2
Corvus macrorhynchos,Davao del Norte,24
Corvus macrorhynchos,Davao del Sur,234
Corvus macrorhynchos,Eastern Samar,2
Corvus macrorhynchos,Guimaras,3
Corvus macrorhynchos,Ifugao,8
Corvus macrorhynchos,Ilocos Norte,13
Corvus macrorhynchos,Ilocos Sur,25
Corvus macrorhynchos,Iloilo,5
Corvus macrorhynchos,Isabela,4
Corvus macrorhynchos,Kalinga,1
Corvus macrorhynchos,La Union,16
Corvus macrorhynchos,Laguna,278
Corvus macrorhynchos,Lanao del Norte,3
Corvus macrorhynchos,Leyte,11
Corvus macrorhynchos,Maguindanao,157
Corvus macrorhynchos,Marinduque,3
Corvus macrorhynchos,Masbate,18
Corvus macrorhynchos,Metropolitan Manila,5
Corvus macrorhynchos,Misamis Occidental,1
Corvus macrorhynchos,Misamis Oriental,7
Corvus macrorhynchos,Mountain Province,6
Corvus macrorhynchos,National Capital Region (Manila),628
Corvus macrorhynchos,Negros Occidental,23
Corvus macrorhynchos,Negros Oriental,68
Corvus macrorhynchos,Northern Samar,2
Corvus macrorhynchos,Nueva Ecija,10
Corvus macrorhynchos,Nueva Vizcaya,11
Corvus macrorhynchos,Occidental Mindoro,41
Corvus macrorhynchos,Oriental Mindoro,13
Corvus macrorhynchos,Palawan,14
Corvus macrorhynchos,Pampanga,30
Corvus macrorhynchos,Pangasinan,22
Corvus macrorhynchos,Quezon,124
Corvus macrorhynchos,Quirino,1
Corvus macrorhynchos,Rizal,254
Corvus macrorhynchos,Romblon,7
Corvus macrorhynchos,Samar,2
Corvus macrorhynchos,Sarangani,6
Corvus macrorhynchos,Siquijor,11
Corvus macrorhynchos,Sorsogon,24
Corvus macrorhynchos,South Cotabato,92
Corvus macrorhynchos,Sultan Kudarat,59
Corvus macrorhynchos,Surigao del Norte,55
Corvus macrorhynchos,Surigao del Sur,40
