province,earliest_sum,latest_sum,population_growth
National Capital Region (Manila),42,29473,29431
Batanes,0,22452,22452
Palawan,260,18785,18525
Rizal,0,12439,12439
Bataan,3,11755,11752
Quezon,43,8854,8811
Laguna,18,8007,7989
Davao del Sur,51,7886,7835
Negros Occidental,0,6488,6488
Zamboanga del Sur,0,6278,6278
Bohol,92,6283,6191
Bulacan,0,5530,5530
Bukidnon,116,5322,5206
Negros Oriental,0,5087,5087
Cavite,0,4862,4862
Agusan del Sur,142,5002,4860
South Cotabato,0,4699,4699
Cebu,7,4173,4166
Pampanga,19,3958,3939
Antique,0,3580,3580
Maguindanao,0,3158,3158
Tarlac,0,2612,2612
Sorsogon,0,2590,2590
Ifugao,68,2472,2404
Iloilo,0,2386,2386
Sultan Kudarat,0,2314,2314
Compostela Valley,0,1883,1883
Pangasinan,0,1826,1826
Benguet,1,1760,1759
Batangas,4,1711,1707
